row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,city,state,region,category,sub-category,product_name,sales,quantity,discount,profit
1,Ca-2016-152156,2016-08-11,2016-11-11,Second Class,Cg-12520,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136
2,Ca-2016-152156,2016-08-11,2016-11-11,Second Class,Cg-12520,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582
3,Ca-2016-138688,2016-12-06,2016-06-16,Second Class,Dv-13045,Darrin Van Huff,Corporate,Los Angeles,California,West,Office Supplies,Labels,Self-Adhesive Address Labels For Typewriters By Universal,14.62,2,0.0,6.8714
4,Us-2015-108966,2015-11-10,2015-10-18,Standard Class,So-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,Bretford Cr4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
5,Us-2015-108966,2015-11-10,2015-10-18,Standard Class,So-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
6,Ca-2014-115812,2014-09-06,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Furnishings,"Eldon Expressions Wood And Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694
7,Ca-2014-115812,2014-09-06,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656
8,Ca-2014-115812,2014-09-06,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,Mitel 5320 Ip Phone Voip Phone,907.152,6,0.2,90.7152
9,Ca-2014-115812,2014-09-06,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Binders,Dxl Angle-View Binders With Locking Rings By Samsill,18.504,3,0.2,5.7825
10,Ca-2014-115812,2014-09-06,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Appliances,Belkin F5C206Vtel 6 Outlet Surge,114.9,5,0.0,34.47
11,Ca-2014-115812,2014-09-06,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
12,Ca-2014-115812,2014-09-06,2014-06-14,Standard Class,Bh-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,Konftel 250 Conference Phone - Charcoal Black,911.424,4,0.2,68.3568
13,Ca-2017-114412,2017-04-15,2017-04-20,Standard Class,Aa-10480,Andrew Allen,Consumer,Concord,North Carolina,South,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
14,Ca-2016-161389,2016-05-12,2016-10-12,Standard Class,Im-15070,Irene Maddox,Consumer,Seattle,Washington,West,Office Supplies,Binders,Fellowes Pb200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
15,Us-2015-118983,2015-11-22,2015-11-26,Standard Class,Hp-14815,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,"Holmes Replacement Filter For Hepa Air Cleaner, Very Large Room, Hepa Filter",68.81,5,0.8,-123.858
16,Us-2015-118983,2015-11-22,2015-11-26,Standard Class,Hp-14815,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,Storex Duratech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
17,Ca-2014-105893,2014-11-11,2014-11-18,Standard Class,Pk-19075,Pete Kriz,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H X 36""W X 18 1/2""D",665.88,6,0.0,13.3176
18,Ca-2014-167164,2014-05-13,2014-05-15,Second Class,Ag-10270,Alejandro Grove,Consumer,West Jordan,Utah,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99
19,Ca-2014-143336,2014-08-27,2014-01-09,Second Class,Zd-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824
20,Ca-2014-143336,2014-08-27,2014-01-09,Second Class,Zd-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,Technology,Phones,Cisco Spa 501G Ip Phone,213.48,3,0.2,16.011
21,Ca-2014-143336,2014-08-27,2014-01-09,Second Class,Zd-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
22,Ca-2016-137330,2016-09-12,2016-12-13,Standard Class,Kb-16585,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596
23,Ca-2016-137330,2016-09-12,2016-12-13,Standard Class,Kb-16585,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884
24,Us-2017-156909,2017-07-16,2017-07-18,Second Class,Sf-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
25,Ca-2015-106320,2015-09-25,2015-09-30,Standard Class,Eb-13870,Emily Burns,Consumer,Orem,Utah,West,Furniture,Tables,Bretford Cr4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649
26,Ca-2016-121755,2016-01-16,2016-01-20,Second Class,Eh-13945,Eric Hoffmann,Consumer,Los Angeles,California,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
27,Ca-2016-121755,2016-01-16,2016-01-20,Second Class,Eh-13945,Eric Hoffmann,Consumer,Los Angeles,California,West,Technology,Accessories,Imation 8Gb Mini Traveldrive Usb 2.0 Flash Drive,90.57,3,0.0,11.7741
28,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
29,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers For Binding Systems,9.618,2,0.7,-7.0532
30,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
31,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
32,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,"Boston Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
33,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,"Acco Pressboard Covers With Storage Hooks, 14 7/8"" X 11"", Executive Red",6.858,6,0.7,-5.715
34,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546
35,Ca-2017-107727,2017-10-19,2017-10-23,Second Class,Ma-17560,Matt Abelman,Home Office,Houston,Texas,Central,Office Supplies,Paper,Easy-Staple Paper,29.472,3,0.2,9.9468
36,Ca-2016-117590,2016-08-12,2016-10-12,First Class,Gh-14485,Gene Hale,Corporate,Richardson,Texas,Central,Technology,Phones,Ge 30524Ee4,1097.544,7,0.2,123.4737
37,Ca-2016-117590,2016-08-12,2016-10-12,First Class,Gh-14485,Gene Hale,Corporate,Richardson,Texas,Central,Furniture,Furnishings,"Electrix Architect'S Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
38,Ca-2015-117415,2015-12-27,2015-12-31,Standard Class,Sn-20710,Steve Nguyen,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,"#10-4 1/8"" X 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
39,Ca-2015-117415,2015-12-27,2015-12-31,Standard Class,Sn-20710,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
40,Ca-2015-117415,2015-12-27,2015-12-31,Standard Class,Sn-20710,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Chairs,"Global Fabric Manager'S Chair, Dark Gray",212.058,3,0.3,-15.147
41,Ca-2015-117415,2015-12-27,2015-12-31,Standard Class,Sn-20710,Steve Nguyen,Home Office,Houston,Texas,Central,Technology,Phones,Plantronics Hl10 Handset Lifter,371.168,4,0.2,41.7564
42,Ca-2017-120999,2017-10-09,2017-09-15,Standard Class,Lc-16930,Linda Cazamias,Corporate,Naperville,Illinois,Central,Technology,Phones,Panasonic Kx-Ts550,147.168,4,0.2,16.5564
43,Ca-2016-101343,2016-07-17,2016-07-22,Standard Class,Ra-19885,Ruben Ausman,Corporate,Los Angeles,California,West,Office Supplies,Storage,"Eldon Base For Stackable Storage Shelf, Platinum",77.88,2,0.0,3.894
44,Ca-2017-139619,2017-09-19,2017-09-23,Standard Class,Es-14080,Erin Smith,Corporate,Melbourne,Florida,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
45,Ca-2016-118255,2016-11-03,2016-03-13,First Class,On-18715,Odella Nelson,Corporate,Eagan,Minnesota,Central,Technology,Accessories,"Verbatim 25 Gb 6X Blu-Ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714
46,Ca-2016-118255,2016-11-03,2016-03-13,First Class,On-18715,Odella Nelson,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders With Dubllock Round Rings,17.46,2,0.0,8.2062
47,Ca-2014-146703,2014-10-20,2014-10-25,Second Class,Po-18865,Patrick O'Donnell,Consumer,Westland,Michigan,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8W X 5-1/4D X 20-1/2H, Black",211.96,4,0.0,8.4784
48,Ca-2016-169194,2016-06-20,2016-06-25,Standard Class,Lh-16900,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Accessories,Imation 8Gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95
49,Ca-2016-169194,2016-06-20,2016-06-25,Standard Class,Lh-16900,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Phones,"Lf Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen And Wiper For Apple Iphone 5C Mini Lite",21.8,2,0.0,6.104
50,Ca-2015-115742,2015-04-18,2015-04-22,Standard Class,Dp-13000,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 X 5-1/8, 10/Pack",38.22,6,0.0,17.9634
51,Ca-2015-115742,2015-04-18,2015-04-22,Standard Class,Dp-13000,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346
